CustomerID,Gender,Age,Spending Score (1-100),Annual Income ($)
1,Male,19,39," $15,000.00 "
2,Male,21,81," $15,000.00 "
3,Female,20,6," $16,000.00 "
4,Female,23,77," $16,000.00 "
5,Female,31,40," $17,000.00 "
6,Female,22,76," $17,000.00 "
7,Female,35,6," $18,000.00 "
8,Female,23,94," $18,000.00 "
9,Male,64,3," $19,000.00 "
10,Female,30,72," $19,000.00 "
11,Male,67,14," $19,000.00 "
12,Female,35,99," $19,000.00 "
13,Female,58,15," $20,000.00 "
14,Female,24,77," $20,000.00 "
15,Male,37,13," $20,000.00 "
16,Male,22,79," $20,000.00 "
17,Female,35,35," $21,000.00 "
18,Male,20,66," $21,000.00 "
19,Male,52,29," $23,000.00 "
20,Female,35,98," $23,000.00 "
21,Male,35,35," $24,000.00 "
22,Male,25,73," $24,000.00 "
23,Female,46,5," $25,000.00 "
24,Male,31,73," $25,000.00 "
25,Female,54,14," $28,000.00 "
26,Male,29,82," $28,000.00 "
27,Female,45,32," $28,000.00 "
28,Male,35,61," $28,000.00 "
29,Female,40,31," $29,000.00 "
30,Female,23,87," $29,000.00 "
31,Male,60,4," $30,000.00 "
32,Female,21,73," $30,000.00 "
33,Male,53,4," $33,000.00 "
34,Male,18,92," $33,000.00 "
35,Female,49,14," $33,000.00 "
36,Female,21,81," $33,000.00 "
37,Female,42,17," $34,000.00 "
38,Female,30,73," $34,000.00 "
39,Female,36,26," $37,000.00 "
40,Female,20,75," $37,000.00 "
41,Female,65,35," $38,000.00 "
42,Male,24,92," $38,000.00 "
43,Male,48,36," $39,000.00 "
44,Female,31,61," $39,000.00 "
45,Female,49,28," $39,000.00 "
46,Female,24,65," $39,000.00 "
47,Female,50,55," $40,000.00 "
48,Female,27,47," $40,000.00 "
49,Female,29,42," $40,000.00 "
50,Female,31,42," $40,000.00 "
51,Female,49,52," $42,000.00 "
52,Male,33,60," $42,000.00 "
53,Female,31,54," $43,000.00 "
54,Male,59,60," $43,000.00 "
55,Female,50,45," $43,000.00 "
56,Male,47,41," $43,000.00 "
57,Female,51,50," $44,000.00 "
58,Male,69,46," $44,000.00 "
59,Female,27,51," $46,000.00 "
60,Male,53,46," $46,000.00 "
61,Male,70,56," $46,000.00 "
62,Male,19,55," $46,000.00 "
63,Female,67,52," $47,000.00 "
64,Female,54,59," $47,000.00 "
65,Male,63,51," $48,000.00 "
